nome,nicho,tel,end,cidade,gmaps,site,siteUrl,social,dono,concorrentes,status,data1,dataFU,obs,varExtra
Croma Contabilidade | BPO Financeiro,Contadores,5585991455600,"R. Ary Barroso, 70 - Papicu",Fortaleza,,Sim,,,,,Não contatado,,,,BPO Financeiro
Fonte Contábil,Contadores,5585989087193,"Av. Joaquim F Correia, 24 - Cidade dos Funcionários",Fortaleza,,Sim,,,,,Não contatado,,,,MEI
Daniel Maia Advocacia,Advocacias,5585987301111,"R. Nunes Valente, 1309",Fortaleza,,Sim,,,Daniel Maia,,Não contatado,,,"5,0⭐ 3.651 avaliações.",trabalhista
Dra Andressa Lima | Advogada,Advocacias,5585996533754,"Av. Barão de Studart, 1165",Fortaleza,,Sim,,,Andressa Lima,,Não contatado,,,"5,0⭐ Direito do Consumidor e Marcas.",consumidor
Iagê Teixeira Advogados,Advocacias,5585997761000,"R. Pedro Borges, 30 - Sala 706",Fortaleza,,Sim,,,,,Não contatado,,,"4,9⭐ 1.068 avaliações.",
Juliana Lima | Advogada | Direito da Saúde,Advocacias,5585997929953,"Av. Senador Virgílio Távora, 1500",Fortaleza,,Sim,,,Juliana Lima,,Não contatado,,,"5,0⭐ Especialista em saúde.",saúde
Sheila Priscila Estética,Clinicas,5585997364443,"Av. Monsenhor Tabosa, 1071 - sala 110",Fortaleza,,Sim,,,Sheila,,Não contatado,,,"5,0⭐ 69 avaliações.",estética
Clínica Elizabeth Pinheiro Estética,Clinicas,5585996296151,"R. Manoel Monteiro, 728",Fortaleza,,Sim,,,Elizabeth Pinheiro,,Não contatado,,,"5,0⭐ 482 avaliações.",estética avançada
Clínica Darling,Clinicas,558532462401,"R. Dr. José Lourenço, 2840",Fortaleza,,Sim,,,,,Não contatado,,,,estética
Oficina Grandes Mecânicos SÓGM,Oficinas,5511973838348,"R. Gen. Júlio Marcondes Salgado, 211",São Paulo,,Não,,,,,Não contatado,,,"🔥 SEM SITE. 5,0⭐ 656 avaliações!",
Auto Relâmpago - Socorro Mecânico 24h,Oficinas,5511508363777,"Av. Lins de Vasconcelos, 2527",São Paulo,,Sim,,,,,Não contatado,,,"4,7⭐ 479 avaliações.",
LF Legalizações de Veículos,Despachantes,5521999821415,"Av. Pres. Vargas, 633 - Grupo 2007 - Centro",Rio de Janeiro,,Não,,,,,Não contatado,,,🔥 SEM SITE. Centro do Rio.,
Bruno Despachante Veicular,Despachantes,5521964607863,"R. Piraquara, 622 - Realengo",Rio de Janeiro,,Sim,,,Bruno,,Não contatado,,,,
Despachante Guimaraes RJ,Despachantes,5521992479207,Rio de Janeiro,Rio de Janeiro,,Sim,,,Guimarães,,Não contatado,,,,
Etran Despachante,Despachantes,5521964102958,"R. Itamarati, 26 - Engenheiro Leal",Rio de Janeiro,,Sim,,,,,Não contatado,,,,
Academia Corpo Fitness,Academias,552122606444,"Av. dos Democráticos, 646 - Higienópolis",Rio de Janeiro,,Não,,,,,Não contatado,,,🔥 SEM SITE.,musculação
Academia Fitness Rio,Academias,552124910958,"R. Raul Pompéia, 45 - Copacabana",Rio de Janeiro,,Sim,,,,,Não contatado,,,Copacabana.,musculação
Canaã-Inset Dedetização,Dedetizacao,5521976351589,"R. Ferreira Pontes, 559 - Grajaú",Rio de Janeiro,,Sim,,,,,Não contatado,,,,dedetização
InsectControl Controle de Pragas,Dedetizacao,5521969372382,"Av. das Américas, 19005 - Recreio",Rio de Janeiro,,Sim,,,,,Não contatado,,,,controle de pragas
Sunset Controle de Pragas,Dedetizacao,552135922041,"R. Alberto de Sequeira, 68 - Tijuca",Rio de Janeiro,,Sim,,,,,Não contatado,,,Filial no Leblon também.,dedetização
Eletricista Predial Anjos - 24h,Manutencao,5521981145001,"Rua Benjamin Constant, 149 - Glória",Rio de Janeiro,,Sim,,,,,Não contatado,,,Atendimento 24h.,elétrica predial
Cristiano Eletricista Predial 24h,Manutencao,5521965688232,"R. Cap. Félix, 110 - Benfica",Rio de Janeiro,,Sim,,,Cristiano,,Não contatado,,,,manutenção predial
Contador Marcondes Sousa,Contadores,5521969942238,"R. José Peregrino, 137 - Rocha Miranda",Rio de Janeiro,,Não,,,Marcondes Sousa,,Não contatado,,,🔥 SEM SITE.,MEI e LTDA
Agir Contábil | Escritório de Contabilidade,Contadores,5521996316305,"R. Sete de Setembro, 65 - sala 304 - Centro",Rio de Janeiro,,Sim,,,,,Não contatado,,,,MEI e LTDA
Invest Contabilidade e Consultoria,Contadores,552130961519,"R. da Conceição, 105 - Sala 1910 - Centro",Rio de Janeiro,,Sim,,,,,Não contatado,,,,
MIRAGERS Serviços Contábeis,Contadores,552132515773,"R. André Rocha, 750 - Sala 204 - Taquara",Rio de Janeiro,,Sim,,,,,Não contatado,,,Abertura de empresa.,
M & G Advogados,Advocacias,5521998702613,"R. S. José, 40 - andar 4",Rio de Janeiro,,Sim,,,,,Não contatado,,,"4,9⭐ 316 avaliações. Família, Criminal, INSS.",trabalhista
LEMOS Advogados,Advocacias,5521998256421,"R. Sete de Setembro, 71",Rio de Janeiro,,Sim,,,,,Não contatado,,,"4,9⭐ 391 avaliações.",imobiliário
OTTO ADVOCACIA,Advocacias,5521994167993,"Rua Conde de Bonfim, 377",Rio de Janeiro,,Sim,,,Fernando Otto,,Não contatado,,,"4,8⭐ 401 avaliações.",
Living Clinic | Harmonização facial,Clinicas,5521994625101,"Av. Princesa Isabel, 323 - sala 502 - Copacabana",Rio de Janeiro,,Sim,,,,,Não contatado,,,"5,0⭐ 76 avaliações.",harmonização facial
DESPACHANTE SAO PAULO,Despachantes,5511985773030,"Av. do Cursino, 3238 - Vila da Saúde",São Paulo,,Sim,,,,,Não contatado,,,,
Despachante Pecini - Zona Norte,Despachantes,5511972771201,"R. Carlos de Laet, 103 - Jardim São Paulo",São Paulo,,Sim,,,Pecini,,Não contatado,,,Zona Norte SP.,
ALONSO Despachante,Despachantes,5511973822631,"Av. Elísio Cordeiro de Siqueira, 1128",São Paulo,,Sim,,,Alonso,,Não contatado,,,,
Urb Fitness,Academias,5511987669453,"R. Alm. Marques de Leão, 584 - Bela Vista",São Paulo,,Sim,,,,,Não contatado,,,,musculação
A Fitness 24h São Paulo,Academias,5511912250310,"Av. Bosque da Saúde, 1004",São Paulo,,Sim,,,,,Não contatado,,,Aberta 24h.,musculação
V10 ACADEMIA,Academias,551127374091,"R. Barata Ribeiro, 72 - Bela Vista",São Paulo,,Sim,,,,,Não contatado,,,,musculação
Dedetizadora Corifeu,Dedetizacao,5511968636466,"Av. Corifeu de Azevedo Marques, 3067",São Paulo,,Não,,,,,Não contatado,,,🔥 SEM SITE.,dedetização
DOUTOR DEDETIZAÇÃO,Dedetizacao,5511990165575,"Av. Miguel de Castro, 190",São Paulo,,Sim,,,,,Não contatado,,,,controle de pragas
Irmãos Pinheiro Manutenção Predial,Manutencao,551122963823,"R. Azevedo Soares, 2808 - Vila Gomes Cardim",São Paulo,,Não,,,,,Não contatado,,,🔥 SEM SITE.,manutenção predial
Prime Manutenção Predial e Ar-condicionado,Manutencao,5511983577187,"Av. Paulista, 1483 - Bela Vista",São Paulo,,Sim,,,,,Não contatado,,,,ar-condicionado
Serviços de Contabilidade MEI / Imposto de Renda,Contadores,5511976103382,"R. Cap. Manoel de Freitas Novaes, 45",São Paulo,,Sim,,,,,Não contatado,,,,MEI
D&D Contabilidade,Contadores,5511998636698,"R. Líbero Badaró, 137 - 3° andar",São Paulo,,Sim,,,,,Não contatado,,,,
ALS Contadores Associados,Contadores,551150266279,"R. Bela Cintra, 772 - Consolação",São Paulo,,Sim,,,,,Não contatado,,,,
Cavalcanti Advogados - Criminalista,Advocacias,5511955555786,"R. Coronel Oscar Porto, 813 - conj 13",São Paulo,,Sim,,,,,Não contatado,,,"5,0⭐ 830 avaliações.",criminal
Jéssica Oliveira Advogados,Advocacias,5511991987232,"Av. Paulista, 1471 - Conjunto 511",São Paulo,,Sim,,,Jéssica Oliveira,,Não contatado,,,"4,9⭐ 1.763 avaliações.",
Marcos Viveiro Advogados - Zona Norte,Advocacias,5511973413643,"Av. Gen. Ataliba Leonel, 2594",São Paulo,,Sim,,,Marcos Viveiro,,Não contatado,,,"4,9⭐ 343 avaliações.",previdenciário
Clínica Pró Estética Perdizes,Clinicas,5511974445843,"Rua Desembargador do Vale, 219 - Perdizes",São Paulo,,Sim,,,,,Não contatado,,,"4,8⭐ 3.281 avaliações.",estética
Pró Estética Vila Mariana,Clinicas,5511933697973,"R. Estado de Israel, 225 - Vila Mariana",São Paulo,,Sim,,,,,Não contatado,,,,estética
Auto Mecânica RJ,Oficinas,5521996384875,"R. Teixeira de Azevedo, 172 - Abolição",Rio de Janeiro,,Não,,,,,Não contatado,,,🔥 SEM SITE.,
Oficina Mecânica Rio,Oficinas,552125025355,"R. Heitor Carrilho, 13 - Cidade Nova",Rio de Janeiro,,Não,,,,,Não contatado,,,🔥 SEM SITE. Cidade Nova.,
Auto Center Riachuelo,Oficinas,552122214055,"R. Riachuelo, 388 - Centro",Rio de Janeiro,,Não,,,,,Não contatado,,,🔥 SEM SITE. Centro do Rio.,
MECH RIO Serviços Automotivos,Oficinas,552134163758,"R. Coronel João Olintho, 832 - Recreio",Rio de Janeiro,,Sim,,,,,Não contatado,,,Recreio dos Bandeirantes.,
Almenar - Rio Soluções Automotivas,Oficinas,552125024015,"R. Laura de Araújo, 145 - Cidade Nova",Rio de Janeiro,,Sim,,,,,Não contatado,,,,
Espaço LA FITNESS,Academias,5521983730381,"R. Dr. Manuel Cotrim, 388 - Sampaio",Rio de Janeiro,,Não,,,,,Não contatado,,,🔥 SEM SITE.,musculação
Academia Carioca Gym Center,Academias,552131394383,"Rua Lino Teixeira, 69 - Riachuelo",Rio de Janeiro,,Não,,,,,Não contatado,,,🔥 SEM SITE.,musculação
Academia Move Gym,Academias,552132514190,"Rua 24 de Maio, 281 - Rocha",Rio de Janeiro,,Não,,,,,Não contatado,,,🔥 SEM SITE.,musculação
Assessoria Empresarial - Especialista MEI,Contadores,5521972801976,"R. Tancredo Martins Costa, 64 - Engenho de Dentro",Rio de Janeiro,,Não,,,,,Não contatado,,,🔥 SEM SITE. Especialista em MEI.,MEI
Contabilidade MEI e Simples Nacional,Contadores,5521989879088,"R. Camerino, 89 - sala 10 - Centro",Rio de Janeiro,,Sim,,,,,Não contatado,,,,MEI
ContMEI Consultoria Contábil,Contadores,5521979026770,"R. Carolina Machado, 542 - Sala 219 - Madureira",Rio de Janeiro,,Sim,,,,,Não contatado,,,,MEI
DESPACHANTE DETRAN - L.P. DE SÁ,Despachantes,5521982272788,"Av. Pedro II, 311 - São Cristóvão",Rio de Janeiro,,Não,,,L.P. de Sá,,Não contatado,,,🔥 SEM SITE. Especialista PCD.,
Carvalho Despachante Oficial Multas,Despachantes,5521993490230,"Av. Alm. Barroso, 06 - Grupo 1108 - Centro",Rio de Janeiro,,Sim,,,,,Não contatado,,,Centro do Rio.,
MG Advogados | Criminalista RJ,Advocacias,5521997439963,"Av. Pres. Wilson, 231 - 14º andar - Centro",Rio de Janeiro,,Sim,,,,,Não contatado,,,"Criminal, Trabalhista.",criminal
T&M Advogados | Trabalhista e Civil RJ,Advocacias,5521995861449,"Av. Pres. Vargas, 590 - sala 413 - Centro",Rio de Janeiro,,Sim,,,,,Não contatado,,,"Trabalhista, Civil, Família.",trabalhista
Saboia e Silva Advogados,Advocacias,552141098469,"R. do Carmo, 17 - 5 Andar - Centro",Rio de Janeiro,,Sim,,,,,Não contatado,,,,
Slim Corp | Ultraformer e Estética RJ,Clinicas,5521975701741,"R. Sete de Setembro, 55 - 1205 - Centro",Rio de Janeiro,,Sim,,,,,Não contatado,,,,estética
Clínica Estética Gisele Peixoto - Centro RJ,Clinicas,5521983104973,"R. Sen. Dantas, 75 - Sala 501 - Cinelândia",Rio de Janeiro,,Sim,,,Gisele Peixoto,,Não contatado,,,"5,0⭐ 33 avaliações.",harmonização facial
Clínica de Pele Dr. Szerman,Clinicas,5521980862370,"Av. N. Sra. de Copacabana, 605 - 804 - Copacabana",Rio de Janeiro,,Sim,,,Dr. Szerman,,Não contatado,,,Copacabana.,dermatologia
SOS SP Assistencia Automotiva 24 Horas,Oficinas,5511949302501,"Av. Santo Amaro, 1510 - Vila Nova Conceição",São Paulo,https://www.google.com/maps/place/SOS+SP+Assistencia+Automotiva+24+Horas,Sim,,,,,Não contatado,,,"3,7⭐",
Pontiac Auto Center,Oficinas,551123374922,"R. Turiassu, 946 - Perdizes",São Paulo,https://www.google.com/maps/place/Pontiac+Auto+Center,Sim,,,,,Não contatado,,,"4,8⭐ Perdizes.",
Mecânica São Paulo,Oficinas,551142272079,"R. São Paulo, 1178 - Cerâmica, São Caetano do Sul",São Paulo,https://www.google.com/maps/place/Mec%C3%A2nica+S%C3%A3o+Paulo,Não,,,,,Não contatado,,,"🔥 4,7⭐ SEM SITE. São Caetano.",
Oficina Mecanica Campo Grande SP,Oficinas,5511940249096,"Rua Una do Prelado, 142 - Campo Grande",São Paulo,https://www.google.com/maps/place/Oficina+Mecanica+Campo+Grande,Sim,,,,,Não contatado,,,"4,8⭐ Campo Grande.",
3D Mecânica e Elétrica Automotiva - Bela Vista,Oficinas,5511948744121,"R. Dr. Luís Barreto, 159 - Bela Vista",São Paulo,https://www.google.com/maps/place/3D+Mec%C3%A2nica+e+El%C3%A9trica+Automotiva,Sim,,,,,Não contatado,,,"4,7⭐ Bela Vista. SOS 24h.",
DAF AutoCenter Oficina Mecânica SP,Oficinas,5511940385917,"Av. Duque de Caxias, 388 - Centro Histórico",São Paulo,https://www.google.com/maps/place/DAF+AutoCenter,Sim,,,,,Não contatado,,,"4,8⭐ Centro histórico SP.",
Oficina Mecânica Rovi\,Oficinas,5511973095478,"Av. Lins de Vasconcelos, 2640 - Vila Mariana",São Paulo,https://www.google.com/maps/place/Oficina+Mec%C3%A2nica+na+Vila+Mariana,Sim,,,Rovi,,Não contatado,,,"4,9⭐ Vila Mariana.",
Auto Relâmpago - Socorro Mecânico 24h,Oficinas,551150836377,"Av. Lins de Vasconcelos, 2527 - Vila Mariana",São Paulo,https://www.google.com/maps/place/Auto+Rel%C3%A2mpago,Sim,,,,,Não contatado,,,"4,7⭐ Vila Mariana. SOS 24h.",
HP Auto Mecânica,Oficinas,5511913176450,"R. José Chimenti, 100 - Ipiranga",São Paulo,https://www.google.com/maps/place/HP+Auto+Mec%C3%A2nica,Sim,,,,,Não contatado,,,"5,0⭐ Ipiranga.",
Auto Mecânica Provence,Oficinas,551132875821,"R. Fortaleza, 192 - Bela Vista",São Paulo,https://www.google.com/maps/place/Auto+Mec%C3%A2nica+Provence,Não,,,,,Não contatado,,,"🔥 4,7⭐ SEM SITE. Bela Vista SP.",
LUCAR SOS Mecânico a Domicílio,Oficinas,5511947143494,"R. Alvarenga, 1130 - Butantã",São Paulo,https://www.google.com/maps/place/LUCAR,Não,,,,,Não contatado,,,"🔥 4,5⭐ SEM SITE. Atend. a domicílio.",
Auto Mecânica do Vale - Pompéia,Oficinas,551136721277,"Rua Desembargador do Vale, 299 - Pompeia",São Paulo,https://www.google.com/maps/place/Auto+Mec%C3%A2nica+do+Vale,Sim,,,,,Não contatado,,,"4,8⭐ Pompéia / Perdizes.",
Oficina Mecanica J.S.S.Linha,Oficinas,551139495952,"R. Vasco Balboa, 179 - Jardim Ipanema (Zona Oeste)",São Paulo,https://www.google.com/maps/place/Oficina+Mecanica+J.S.S.Linha,Não,,,,,Não contatado,,,"🔥 4,9⭐ SEM SITE. Zona Oeste SP.",
JC Auto Reparo Mecânica Automotiva,Oficinas,5511942361958,"Av. Gen. Olímpio da Silveira, 650 - Santa Cecilia",São Paulo,https://www.google.com/maps/place/JC+Auto+Reparo,Não,,,,,Não contatado,,,"🔥 5,0⭐ SEM SITE. Santa Cecilia SP.",
Oficina Nipobrasileiro,Oficinas,551137427152,"R. André Saraiva, 482 - Vila Sonia",São Paulo,https://www.google.com/maps/place/Oficina+Nipobrasileiro,Sim,,,,,Não contatado,,,"4,6⭐ Vila Sonia.",
Faisca Auto Elétrica e Mecânica - Santana,Oficinas,5511953393844,"R. Canto do Junco, 30 - Santana",São Paulo,https://www.google.com/maps/place/Oficina+Mec%C3%A2nica+%7C+Auto+El%C3%A9trica+%7C+Faisca,Não,,,,,Não contatado,,,"🔥 4,9⭐ SEM SITE. Santana Zona Norte.",
KASKAUTO Mecânica - Zona Norte,Oficinas,551126352210,"Av. das Cerejeiras, 342 - Vila Maria",São Paulo,https://www.google.com/maps/place/KASKAUTO,Sim,,,,,Não contatado,,,"4,9⭐ Vila Maria ZN.",
Mecânica Horto Center - Mandaqui,Oficinas,5511982042342,"Av. Santa Inês, 1911 - Parque Mandaqui",São Paulo,https://www.google.com/maps/place/Mec%C3%A2nica+Horto+Center,Sim,,,,,Não contatado,,,"4,9⭐ Mandaqui ZN.",
Flecha Garage - Oficina e Autocenter,Oficinas,551122565359,"Av. Imirim, 807 - Imirim",São Paulo,https://www.google.com/maps/place/Flecha+Garage,Sim,,,,,Não contatado,,,"4,9⭐ Imirim ZN.",
FortCar Centro Automotivo - Zona Norte,Oficinas,551139351175,"R. Dona Estela Borges Morato, 459 - Vila Siqueira",São Paulo,https://www.google.com/maps/place/FortCar+Centro+Automotivo,Não,,,,,Não contatado,,,"🔥 4,6⭐ SEM SITE. Vila Siqueira ZN.",
Bosch Car Service Guia Norte Auto Center,Oficinas,5511973809525,"R. do Imperador, 1666 - Vila Guilherme",São Paulo,https://www.google.com/maps/place/Bosch+Car+Service,Sim,,,,,Não contatado,,,"4,9⭐ Vila Guilherme ZN.",
Figueiredo Classic Car Garage,Oficinas,5511961242726,"R. Carolina Soares, 734A - Vila Diva (Zona Norte)",São Paulo,https://www.google.com/maps/place/Oficina+mec%C3%A2nica+Figueiredo+Classic+Car+Garage,Não,,,Figueiredo,,Não contatado,,,"🔥 5,0⭐ SEM SITE. Carros clássicos ZN.",
BCS Oficina CITROËN PEUGEOT DS - Zona Norte,Oficinas,551138587335,"R. Miguel Roque, 43 - Imirim",São Paulo,https://www.google.com/maps/place/BCS+Oficina+Especializada,Não,,,,,Não contatado,,,"🔥 4,9⭐ SEM SITE. Especialista Citroën/Peugeot.",
Guia Norte Auto Center - Funilaria e Pintura,Oficinas,5511991885939,"Av. Nadir Dias de Figueiredo, 1130 - Vila Maria Baixa",São Paulo,https://www.google.com/maps/place/Guia+Norte+Auto+Center+-+Sikkens,Sim,,,,,Não contatado,,,"5,0⭐ Vila Maria ZN.",
Guia Norte Auto Center - Pneus,Oficinas,5511971297227,"R. Maria Cândida, 2122 - Vila Guilherme",São Paulo,https://www.google.com/maps/place/Guia+Norte+Auto+Center+-+Continental+Pneus,Sim,,,,,Não contatado,,,"4,9⭐ Vila Guilherme ZN.",
Oliveira Peças e Serviços - Zona Norte,Oficinas,551129770288,"Av. Conceição, 368 - Vila Guilherme",São Paulo,https://www.google.com/maps/place/Oliveira+Pe%C3%A7as+e+Servi%C3%A7os,Não,,,Oliveira,,Não contatado,,,"🔥 4,7⭐ SEM SITE. Vila Guilherme ZN.",
Euro Centro Automotivo Tucuruvi,Oficinas,551129817162,"Av. Guapira, 1613 - Tucuruvi",São Paulo,https://www.google.com/maps/place/Euro+Centro+Automotivo+Tucuruvi,Sim,,,,,Não contatado,,,"4,5⭐ Tucuruvi ZN. Bosch.",
Auto Mecânica Curitiba,Oficinas,554130295765,"R. Prof. Luiz Carlos Pereira da Silva, 72 - Jardim Botânico",Curitiba,https://www.google.com/maps/place/Auto+Mec%C3%A2nica+Curitiba,Sim,,,,,Não contatado,,,"4,5⭐ Jardim Botânico.",
Mecânica Chile - Oficina Curitiba,Oficinas,554130272706,"R. Comendador Roseira, 106 - Prado Velho",Curitiba,https://www.google.com/maps/place/Mec%C3%A2nica+Chile,Sim,,,,,Não contatado,,,"4,9⭐ Prado Velho.",
Oficina Mecânica Valmir,Oficinas,554133337766,"R. Eng. Rebouças, 1899 - Rebouças",Curitiba,https://www.google.com/maps/place/Oficina+Mec%C3%A2nica+Valmir,Não,,,Valmir,,Não contatado,,,"🔥 4,7⭐ SEM SITE. Rebouças.",
Auto Mecânica João Hoffmann,Oficinas,554132573635,"Rua Alvaro Botelho, 189 - Bacacheri",Curitiba,https://www.google.com/maps/place/Auto+Mec%C3%A2nica+Jo%C3%A3o+Hoffmann,Sim,,,João Hoffmann,,Não contatado,,,"4,6⭐ Bacacheri.",
Mecânica Água Verde,Oficinas,5541999940163,"R. Dom Pedro I, 277 - Água Verde",Curitiba,https://www.google.com/maps/place/Mec%C3%A2nica+%C3%81gua+Verde,Sim,,,,,Não contatado,,,"4,8⭐ Água Verde.",
Oficina Mecânica e Elétrica Mário,Oficinas,5541991031686,"R. Des. Westphalen, 931 - Centro",Curitiba,https://www.google.com/maps/place/Oficina+Mec%C3%A2nica+e+El%C3%A9trica+M%C3%A1rio,Não,,,Mário,,Não contatado,,,"🔥 4,9⭐ SEM SITE. Centro.",
Mecânica Espaço Motor Curitiba,Oficinas,554130827251,"Av. Iguaçu, 569 - Rebouças",Curitiba,https://www.google.com/maps/place/Mec%C3%A2nica+Espa%C3%A7o+Motor+Curitiba,Não,,,,,Não contatado,,,"🔥 4,8⭐ SEM SITE. Rebouças.",
Oficina Mecânica Sofiste - Curitiba,Oficinas,554132643902,"R. Atílio Bório, 103 - Cristo Rei",Curitiba,https://www.google.com/maps/place/Oficina+Mec%C3%A2nica+em+Curitiba+-+Sofiste,Sim,,,,,Não contatado,,,"4,4⭐ Cristo Rei.",
AConcept Car Service,Oficinas,5541999378334,"R. Dr. Carvalho Chaves, 683 - Parolin",Curitiba,https://www.google.com/maps/place/AConcept+Car+Service,Sim,,,,,Não contatado,,,"4,7⭐ Parolin.",
Mecânica Garrett Funilaria e Pintura,Oficinas,554130265155,"Rua Deputado Waldemiro Pedroso, 244 - Novo Mundo",Curitiba,https://www.google.com/maps/place/Mec%C3%A2nica+Garrett,Sim,,,,,Não contatado,,,"4,7⭐ Novo Mundo.",
Macchina Mecânica Automotiva,Oficinas,5541984530714,"Rua Victor Meireles, 691 - Uberaba",Curitiba,https://www.google.com/maps/place/Macchina+Mec%C3%A2nica+Automotiva+LTDA,Sim,,,,,Não contatado,,,"4,9⭐ Uberaba.",
LAURINDO Oficina Mecânica Curitiba,Oficinas,5541999537491,"R. Humberto de Campos, 884 - Pilarzinho",Curitiba,https://www.google.com/maps/place/LAURINDO+OFICINA+MEC%C3%82NICA+CURITIBA,Sim,,,Laurindo,,Não contatado,,,"4,9⭐ Pilarzinho.",
Dismel Oficina Mecânica,Oficinas,554132674406,"Rua Raul Caron, 1264 - Capão da Imbuia",Curitiba,https://www.google.com/maps/place/Dismel+Oficina+Mec%C3%A2nica,Sim,,,,,Não contatado,,,"4,8⭐ Capão da Imbuia.",
ZZ Premium Oficina Mecânica - Câmbio,Oficinas,5541988262795,"R. Francisco Nunes, 1783 - Rebouças",Curitiba,https://www.google.com/maps/place/ZZ+Premium+Oficina+Mec%C3%A2nica,Sim,,,,,Não contatado,,,"4,7⭐ Rebouças. Câmbio Powershift.",
HS Oficina Mecânica Curitiba,Oficinas,5541999934959,"R. Jaime Costa, 119 - Prado Velho",Curitiba,https://www.google.com/maps/place/HS+Oficina+Mec%C3%A2nica,Sim,,,,,Não contatado,,,"4,6⭐ Prado Velho.",
